"n","n_rep","size_mean","size_q05","size_q95","size_min","share_undeclarable","share_under_events","share_nonestimable","e0_mean","e0_min","e1_mean","e1_min","ne0_mean","ne0_min","ne1_mean","ne1_min","prev_target","sg_quantile","prevalence","target_or_h","beta_inter","marg_H"
500,200,66.295,55,78.05,47,0.22,0.015,0,17.46,7,21.475,10,15.025,5,12.335,6,0.13,0.6516,0.13215,1.5,0.892858936170094,1.5000000001625
750,200,99.28,85.95,114.05,80,0,0,0,27.19,15,31.345,18,22.755,11,17.99,4,0.13,0.6516,0.13215,1.5,0.892858936170094,1.5000000001625
1000,200,132.77,115.95,152,103,0,0,0,36.395,17,41.885,27,30.755,16,23.735,11,0.13,0.6516,0.13215,1.5,0.892858936170094,1.5000000001625
2000,200,264.845,239,289,228,0,0,0,70.835,51,84.29,64,61.765,40,47.955,29,0.13,0.6516,0.13215,1.5,0.892858936170094,1.5000000001625
500,200,68.9,57.95,81.05,52,0.1,0.045,0,18.1,8,16.305,9,15.7,5,18.795,9,0.14,0.63955,0.13686,0.75,0.150568859884685,0.749999994358048
750,200,102.955,89,117.1,83,0,0,0,28.075,15,23.505,11,23.67,12,27.705,13,0.14,0.63955,0.13686,0.75,0.150568859884685,0.749999994358048
1000,200,137.595,121,155.05,108,0,0,0,37.62,18,31.295,18,31.945,17,36.735,23,0.14,0.63955,0.13686,0.75,0.150568859884685,0.749999994358048
2000,200,274.375,249.95,301.05,239,0,0,0,73.19,55,63.62,45,64.17,44,73.395,45,0.14,0.63955,0.13686,0.75,0.150568859884685,0.749999994358048
500,200,68.9,57.95,81.05,52,0.1,0.025,0,18.1,8,18.58,8,15.7,5,16.52,7,0.14,0.63955,0.13686,1,0.459830731226851,0.999999999950614
750,200,102.955,89,117.1,83,0,0,0,28.075,15,27.115,16,23.67,12,24.095,10,0.14,0.63955,0.13686,1,0.459830731226851,0.999999999950614
1000,200,137.595,121,155.05,108,0,0,0,37.62,18,36.51,24,31.945,17,31.52,19,0.14,0.63955,0.13686,1,0.459830731226851,0.999999999950614
2000,200,274.375,249.95,301.05,239,0,0,0,73.19,55,73.8,51,64.17,44,63.215,38,0.14,0.63955,0.13686,1,0.459830731226851,0.999999999950614
500,200,68.9,57.95,81.05,52,0.1,0.01,0,18.1,8,22.26,10,15.7,5,12.84,6,0.14,0.63955,0.13686,1.5,0.893453352706773,1.50000000015958
750,200,102.955,89,117.1,83,0,0,0,28.075,15,32.48,18,23.67,12,18.73,5,0.14,0.63955,0.13686,1.5,0.893453352706773,1.50000000015958
1000,200,137.595,121,155.05,108,0,0,0,37.62,18,43.255,28,31.945,17,24.775,13,0.14,0.63955,0.13686,1.5,0.893453352706773,1.50000000015958
2000,200,274.375,249.95,301.05,239,0,0,0,73.19,55,87.225,70,64.17,44,49.79,29,0.14,0.63955,0.13686,1.5,0.893453352706773,1.50000000015958
500,200,75.275,64,88.05,56,0.015,0.01,0,19.66,9,17.625,9,17.31,7,20.68,10,0.15,0.6285,0.14917,0.75,0.151301974069153,0.749999993956419
750,200,112.445,97,128.05,91,0,0,0,30.305,15,25.43,12,26.07,13,30.64,19,0.15,0.6285,0.14917,0.75,0.151301974069153,0.749999993956419
1000,200,150.345,131.95,169,120,0,0,0,40.575,21,33.965,20,35.27,22,40.535,26,0.15,0.6285,0.14917,0.75,0.151301974069153,0.749999993956419
2000,200,299.34,272.95,325,261,0,0,0,79.19,60,68.89,48,70.695,50,80.565,49,0.15,0.6285,0.14917,0.75,0.151301974069153,0.749999993956419
500,200,75.275,64,88.05,56,0.015,0.005,0,19.66,9,20.055,10,17.31,7,18.25,9,0.15,0.6285,0.14917,1,0.459830731225833,0.99999999994955
750,200,112.445,97,128.05,91,0,0,0,30.305,15,29.43,17,26.07,13,26.64,14,0.15,0.6285,0.14917,1,0.459830731225833,0.99999999994955
1000,200,150.345,131.95,169,120,0,0,0,40.575,21,39.61,28,35.27,22,34.89,22,0.15,0.6285,0.14917,1,0.459830731225833,0.99999999994955
2000,200,299.34,272.95,325,261,0,0,0,79.19,60,79.76,56,70.695,50,69.695,42,0.15,0.6285,0.14917,1,0.459830731225833,0.99999999994955
500,200,75.275,64,88.05,56,0.015,0.005,0,19.66,9,24.145,13,17.31,7,14.16,6,0.15,0.6285,0.14917,1.5,0.892531047896512,1.50000000016306
750,200,112.445,97,128.05,91,0,0,0,30.305,15,35.21,21,26.07,13,20.86,10,0.15,0.6285,0.14917,1.5,0.892531047896512,1.50000000016306
1000,200,150.345,131.95,169,120,0,0,0,40.575,21,46.98,32,35.27,22,27.52,14,0.15,0.6285,0.14917,1.5,0.892531047896512,1.50000000016306
2000,200,299.34,272.95,325,261,0,0,0,79.19,60,94.42,72,70.695,50,55.035,36,0.15,0.6285,0.14917,1.5,0.892531047896512,1.50000000016306
